Nom Produits;Année;Mois;Quantité commandé;Montant commandé
Cerulyse gtte aur ;2023;8;10;10 377
Cetamyl 1g cp;2023;5;13;13 051
Cetamyl 1g cp;2023;2;15;14 985
Cetamyl 1g cp;2023;9;12;11 988
Cetamyl 1g cp;2023;4;14;14 086
Cetamyl 1g cp;2023;6;18;17 970
Cetamyl 1g cp;2023;7;13;12 979
Cetamyl 1g cp;2023;3;19;18 982
Cetamyl 1g cp;2023;1;14;13 936
Cetamyl 1g cp;2023;8;20;28 979
Cetamyl 300mg poudre b/12;2023;2;11;19 119
Cetamyl 500mg cp  B/20 sans sucre;2023;8;152;70 075
Cetamyl 500mg cp  B/20 sans sucre;2023;9;74;33 184
Cetamyl 500mg cp  B/20 sans sucre;2023;7;108;49 374
Cetamyl 500mg cp  B/20 sans sucre;2023;5;154;70 987
Cetamyl 500mg cp  B/20 sans sucre;2023;6;137;63 163
Cetamyl 500mg cp  B/20 sans sucre;2023;2;172;79 298
Cetamyl 500mg cp  B/20 sans sucre;2023;3;167;76 988
Cetamyl 500mg cp  B/20 sans sucre;2023;4;146;67 306
Cetamyl 500mg cp  B/20 sans sucre;2023;1;202;93 114
Chericof sp Fl/100ml;2023;2;15;19 496
Chericof sp Fl/100ml;2023;1;15;19 481
Chericof sp Fl/100ml;2023;8;11;14 299
Chericof sp Fl/100ml;2023;6;16;20 785
Chericof sp Fl/100ml;2023;7;9;11 699
Chericof sp Fl/100ml;2023;3;21;27 282
Chericof sp Fl/100ml;2023;5;18;35 084
Chericof sp Fl/100ml;2023;4;16;20 799
Chibro-cadron cy Fl/5ml;2023;3;9;16 669
Chibro-cadron cy Fl/5ml;2023;1;9;16 678
Chibroxine 0,3% cy Fl/5ml;2023;5;10;28 583
Chibroxine 0,3% cy Fl/5ml;2023;3;10;28 656
Chibroxine 0,3% cy Fl/5ml;2023;6;14;38 885
Chibroxine 0,3% cy Fl/5ml;2023;1;11;31 541
Chlorure de calcium inj;2023;3;9;4 050
Cifran CT cp B/10;2023;3;11;58 004
Cifran CT cp B/10;2023;4;8;42 914
Ciprofloxacine 750 cp UBI b/10x10;2023;5;16;14 668
Ciprofloxacine 750 cp UBI b/10x10;2023;6;12;10 800
Ciprofloxacine 750 cp UBI b/10x10;2023;3;9;8 100
Cipromed TZ cp B/10;2023;2;8;15 243
Cipromed TZ cp B/10;2023;5;19;36 278
Cipromed TZ cp B/10;2023;8;15;28 578
Ciprozole forte cp B/10;2023;5;10;50 237
Ciprozole forte cp B/10;2023;1;8;39 559
Clamoxyl 1g cp disp B/10 sans sucre;2023;8;8;27 207
Clamoxyl 500mg sp Fl/60ml;2023;7;9;14 737
Clamoxyl 500mg sp Fl/60ml;2023;4;10;16 197
Clamoxyl 500mg sp Fl/60ml;2023;1;11;17 993
Clamoxyl 500mg sp Fl/60ml;2023;8;11;17 990
Clamoxyl 500mg sp Fl/60ml;2023;6;10;16 364
Clofains cp;2023;7;9;9 233
Clofains cp;2023;9;9;9 162
Clofains cp;2023;8;11;11 287
Clofains cp;2023;6;11;11 235
Clofains cp;2023;4;9;9 206
Clofains cp;2023;5;16;16 413
Clotridenk 1% creme T/20g ;2023;7;9;13 819
Co avazir collyre f/15ml;2023;8;9;19 169
Codoliprane cp B/16;2023;3;13;22 403
Codoliprane cp B/16;2023;5;19;48 235
Codoliprane cp B/16;2023;4;8;13 778
Codoliprane cp B/16;2023;2;15;25 847
Cofantrine ad 80/400mg cp bt/6;2023;4;14;35 555
Cofantrine ad 80/400mg cp bt/6;2023;3;12;29 635
Cofantrine ad 80/400mg cp bt/6;2023;8;26;64 200
Cofantrine ad 80/400mg cp bt/6;2023;1;13;31 865
Cofantrine ad 80/400mg cp bt/6;2023;2;15;35 864
Collyre bleue laiter faible cy;2023;6;17;27 013
Collyre bleue laiter faible cy;2023;1;10;15 881
Collyre bleue laiter faible cy;2023;8;10;15 860
Collyre bleue laiter faible cy;2023;2;18;28 513
Collyre bleue laiter faible cy;2023;4;12;19 064
Collyre bleue laiter faible cy;2023;3;11;17 479
Collyre bleue laiter faible cy;2023;9;8;12 712
Collyre bleue laiter faible cy;2023;5;19;30 202
Colposeptine ovule B/18;2023;3;11;39 065
Combimal cp B/3;2023;8;28;12 580
Combimal cp B/3;2023;4;19;8 550
Combimal cp B/3;2023;7;24;10 780
Combimal cp B/3;2023;9;15;6 750
Combimal cp B/3;2023;5;15;6 750
Combimal cp B/3;2023;6;19;8 480
Combimal cp B/3;2023;2;13;5 830
Compresse 30x30;2023;1;15;14 607
Compresse 30x30;2023;2;23;20 543
Compresse 30x30;2023;4;25;23 942
Compresse 30x30;2023;9;11;9 595
Compresse 30x30;2023;8;17;16 118
Compresse 30x30;2023;6;12;11 693
Compresse 30x30;2023;3;13;12 660
Compresse 30x30;2023;5;13;12 586
Compresse 40x40;2023;1;40;48 523
Compresse 40x40;2023;7;36;43 850
Compresse 40x40;2023;4;47;68 926
Compresse 40x40;2023;8;85;113 598
Compresse 40x40;2023;9;37;37 466
Compresse 40x40;2023;5;52;65 280
Compresse 40x40;2023;3;72;79 711
Compresse 40x40;2023;6;67;75 943
Compresse 40x40;2023;2;52;65 694
Conasec crï¿½me;2023;4;14;15 281
Conasec crï¿½me;2023;8;11;12 055
Copivitamin;2023;4;15;14 775
Copivitamin;2023;2;73;71 689
Copivitamin;2023;3;56;54 926
Copivitamin;2023;1;58;56 056
Corneregel gel ophthalmique;2023;6;9;44 954
Correctol cy 10ml ;2023;1;22;20 675
Correctol cy 10ml ;2023;3;18;16 915
Correctol cy 10ml ;2023;4;19;17 571
Correctol cy 10ml ;2023;9;15;14 098
Correctol cy 10ml ;2023;8;24;22 529
Correctol cy 10ml ;2023;6;9;8 463
Correctol cy 10ml ;2023;7;14;13 160
Correctol cy 10ml ;2023;5;20;18 809
Correctol cy 10ml ;2023;2;19;17 867
Cotipred 20 cp;2023;5;9;46 362
Cotipred 20 cp;2023;4;10;51 517
Coton 50g;2023;4;8;4 885
Coton 50g;2023;5;17;11 803
Coton 50g;2023;8;21;13 271
Coton 80g idrofile;2023;2;32;31 287
Coton 80g idrofile;2023;3;11;10 667
Coton 80g idrofile;2023;8;9;8 775
Cotrimoxazole ubi 400mg cpr 100bl10;2023;9;21;44 398
Cotrimoxazole ubi 400mg cpr 100bl10;2023;7;112;47 170
Cotrimoxazole ubi 400mg cpr 100bl10;2023;1;110;43 250
Cotrimoxazole ubi 400mg cpr 100bl10;2023;8;41;67 760
Cotrimoxazole ubi 400mg cpr 100bl10;2023;5;10;2 400
Cotrimoxazole ubi 400mg cpr 100bl10;2023;4;100;24 000
Couche adulte super plus detail;2023;7;80;59 250
Couche adulte super plus detail;2023;6;83;61 940
Couche adulte super plus detail;2023;3;72;54 000
Couche adulte super plus detail;2023;2;83;76 250
Couche adulte super plus detail;2023;8;29;21 750
Couche adulte super plus detail;2023;4;64;48 000
Couche adulte super plus detail;2023;1;82;73 000
Couche adulte super plus detail;2023;9;36;27 000
Couche adulte super plus detail;2023;5;35;26 150
Cromax collyre;2023;4;8;18 752
Cromsol cy;2023;8;9;9 241
C-Tri 1g B/amp;2023;7;10;25 340
Curam 1000mg /125mg sch b/12;2023;4;38;141 867
Curam 1000mg /125mg sch b/12;2023;8;32;120 123
Curam 1000mg /125mg sch b/12;2023;3;56;207 549
Curam 1000mg /125mg sch b/12;2023;5;41;153 536
Curam 1000mg /125mg sch b/12;2023;2;43;161 409
Curam 1000mg /125mg sch b/12;2023;1;62;232 725
Curam 1000mg /125mg sch b/12;2023;9;23;86 334
Curam 100mg sp nn Fl/30ml;2023;8;10;23 346
Cyteal sol mouss Fl/250ml;2023;4;13;26 254
Cyteal sol mouss Fl/250ml;2023;9;26;52 588
Cyteal sol mouss Fl/250ml;2023;2;51;104 853
Cyteal sol mouss Fl/250ml;2023;3;26;52 596
Cyteal sol mouss Fl/250ml;2023;7;32;64 693
Cyteal sol mouss Fl/250ml;2023;8;34;68 759
Cyteal sol mouss Fl/250ml;2023;1;21;42 473
Cyteal sol mouss Fl/250ml;2023;5;18;34 636
Cyteal sol mouss Fl/250ml;2023;6;16;32 352
Cyteal sol mouss Fl/500ml;2023;3;11;40 715
Dacryoserum sol oculaire unidose/20;2023;4;12;34 725
Dacryoserum sol oculaire unidose/20;2023;5;13;37 551
Dacryoserum sol oculaire unidose/20;2023;6;11;31 894
Dacryoserum sol oculaire unidose/20;2023;3;17;49 077
Dakin cooper fl/250ml;2023;2;8;10 983
Dakin cooper fl/250ml;2023;8;9;12 370
Daktarin 2% gel buccal T/40g;2023;1;8;30 704
Daktarin 2% gel buccal T/40g;2023;3;9;34 552
Dazel kit;2023;3;9;62 040
Dazel kit;2023;1;11;75 852
Dazel kit;2023;6;8;55 160
Dazel kit;2023;4;8;55 168
Dazel kit;2023;2;14;96 521
Depakine 200mg cp B/40;2023;5;11;35 169
Dermobacter sol mouss derm Fl/300ml;2023;6;16;46 642
Dermobacter sol mouss derm Fl/300ml;2023;5;14;40 823
Dermobacter sol mouss derm Fl/300ml;2023;3;14;40 804
Dermobacter sol mouss derm Fl/300ml;2023;4;18;52 476
Dermobacter sol mouss derm Fl/300ml;2023;7;9;26 228
Desloratadine gh;2023;6;10;27 656
Desomedine 0,1% cy Fl/10ml;2023;7;10;12 113
Desomedine 0,1% cy Fl/10ml;2023;4;18;21 927
Desomedine 0,1% cy Fl/10ml;2023;8;9;10 966
Desomedine 0,1% cy Fl/10ml;2023;6;13;15 665
Desyrel susp buv fl/200ml;2023;2;23;57 514
Desyrel susp buv fl/200ml;2023;4;23;57 500
Desyrel susp buv fl/200ml;2023;5;34;84 994
Desyrel susp buv fl/200ml;2023;3;26;64 201
Desyrel susp buv fl/200ml;2023;6;22;54 926
Desyrel susp buv fl/200ml;2023;1;42;104 889
Desyrel susp buv fl/200ml;2023;8;30;74 994
Desyrel susp buv fl/200ml;2023;7;26;64 994
Desyrel susp buv fl/200ml;2023;9;11;27 500
Dexeryl crï¿½me T/200G;2023;2;25;85 312
Dexeryl crï¿½me T/200G;2023;5;18;61 670
Dexeryl crï¿½me T/200G;2023;4;25;85 253
Dexeryl crï¿½me T/200G;2023;8;20;67 702
Dexeryl crï¿½me T/200G;2023;9;14;47 970
Dexeryl crï¿½me T/200G;2023;3;17;58 243
Dexeryl crï¿½me T/200G;2023;1;21;71 953
Dexeryl crï¿½me T/200G;2023;6;19;65 094
Dexorich sp;2023;8;8;16 484
Dexorich sp;2023;7;8;16 443
Dicacilline 2.4;2023;2;9;14 701
Dicloced collyre ;2023;3;9;41 801
Diclo denk 50mg cp bte /20;2023;3;16;15 543
Diclo denk 50mg cp bte /20;2023;9;9;8 865
Diclo denk 50mg cp bte /20;2023;5;22;21 464
Diclo denk 50mg cp bte /20;2023;6;14;13 689
Diclo denk 50mg cp bte /20;2023;2;17;16 545
Diclo denk 50mg cp bte /20;2023;7;11;10 686
Diclo denk 50mg cp bte /20;2023;4;19;18 532
Diclo denk 50mg cp bte /20;2023;1;14;13 612
Diclo denk 50mg cp bte /20;2023;8;18;17 549
Diclo denk 50mg detail;2023;2;19;8 919
Diclo denk 50mg detail;2023;3;23;10 796
Diclo denk 50mg detail;2023;4;12;5 650
Diclo pharma5 100mg suppo b/10;2023;5;51;106 369
Diclo pharma5 100mg suppo b/10;2023;3;35;72 950
Diclo pharma5 100mg suppo b/10;2023;2;61;127 171
Diclo pharma5 100mg suppo b/10;2023;8;44;91 746
Diclo pharma5 100mg suppo b/10;2023;6;44;91 770
Diclo pharma5 100mg suppo b/10;2023;7;43;89 667
Diclo pharma5 100mg suppo b/10;2023;4;53;110 527
Diclo pharma5 100mg suppo b/10;2023;9;44;91 716
Diclo pharma5 100mg suppo b/10;2023;1;36;75 002
Dicynone 250mg inj amp b/4;2023;2;30;39 300
Dicynone 500mg cp B/20 sans sucre;2023;4;10;38 558
Dicynone 500mg cp B/20 sans sucre;2023;3;12;46 289
Dipara B/10 cp;2023;9;12;7 800
Dipara B/10 cp;2023;4;13;8 450
Dipara B/10 cp;2023;3;25;16 237
Dipara B/10 cp;2023;6;14;9 100
Dipara B/10 cp;2023;2;12;7 800
Dipara B/10 cp;2023;8;25;16 235
Dipara B/10 cp;2023;7;17;10 955
Dipara B/10 cp;2023;1;22;14 210
Diprosone 0,05% creme T/30g;2023;5;9;25 774
Diprosone 0,05% creme T/30g;2023;8;10;28 636
Diprosone 0,05% pdeT/30g;2023;2;8;23 170
Diprosone 0,05% pdeT/30g;2023;5;9;26 095
Dislep cp B/20;2023;2;12;70 512
Dislep cp B/20;2023;4;16;93 994
Dislep cp B/20;2023;1;12;70 492
Dislep cp B/20;2023;8;15;141 034
Dislep cp B/20;2023;3;9;52 872
Dislep cp B/20;2023;6;9;52 918
Dislep injectable;2023;2;290;1 703 460
Distem cp cp;2023;3;14;66 320
Distem cp cp;2023;7;13;61 520
Distem cp cp;2023;4;12;56 921
Distem cp cp;2023;2;13;61 620
Distem cp cp;2023;6;11;51 840
Dolamine cp B/20 sans sucre;2023;3;26;21 280
Dolamine cp B/20 sans sucre;2023;6;19;15 505
Dolamine cp B/20 sans sucre;2023;7;11;8 977
Dolamine cp B/20 sans sucre;2023;8;17;13 961
Dolamine cp B/20 sans sucre;2023;1;16;13 064
Dolamine cp B/20 sans sucre;2023;4;25;20 501
Dolamine cp B/20 sans sucre;2023;5;34;27 423
Dolamine cp B/20 sans sucre;2023;2;24;19 683
Dolex 50 cp;2023;9;10;15 879
Dolex 50 cp;2023;1;13;19 295
Dolex 50 cp;2023;5;12;19 068
Dolex 50 cp;2023;4;12;18 562
Dolex 50 cp;2023;8;18;28 284
Dolex 50 cp;2023;3;16;25 083
Dolex 50 cp;2023;7;14;22 248
Dolex 50 cp;2023;2;11;18 412
Dolex 50 cp;2023;6;12;19 052
Dolex 75 cp;2023;7;9;28 477
Dolex 75 cp;2023;8;9;28 334
Doliprane 1000 mg cp eff B/8 sans sucre;2023;7;127;142 673
Doliprane 1000 mg cp eff B/8 sans sucre;2023;2;152;170 839
Doliprane 1000 mg cp eff B/8 sans sucre;2023;1;176;197 468
Doliprane 1000 mg cp eff B/8 sans sucre;2023;6;138;154 101
Doliprane 1000 mg cp eff B/8 sans sucre;2023;3;168;188 769
Doliprane 1000 mg cp eff B/8 sans sucre;2023;9;104;116 664
Doliprane 1000 mg cp eff B/8 sans sucre;2023;5;138;154 061
Doliprane 1000 mg cp eff B/8 sans sucre;2023;8;192;215 762
Doliprane 1000 mg cp eff B/8 sans sucre;2023;4;126;141 805
Doliprane 1g cp secs B/8 ;2023;7;32;35 065
Doliprane 1g cp secs B/8 ;2023;6;79;85 774
Doliprane 1g cp secs B/8 ;2023;2;87;95 594
Doliprane 1g cp secs B/8 ;2023;9;65;69 084
Doliprane 1g cp secs B/8 ;2023;8;103;112 613
Doliprane 1g cp secs B/8 ;2023;5;89;96 721
Doliprane 1g cp secs B/8 ;2023;1;86;94 257
Doliprane 1g cp secs B/8 ;2023;3;89;97 794
Doliprane 1g cp secs B/8 ;2023;4;82;90 137
Doliprane 300mg  sachet B/12;2023;7;20;23 489
Doliprane 300mg  sachet B/12;2023;9;29;34 059
Doliprane 300mg  sachet B/12;2023;2;18;21 161
Doliprane 300mg  sachet B/12;2023;4;15;17 522
Doliprane 300mg  sachet B/12;2023;1;29;34 055
Doliprane 300mg  sachet B/12;2023;5;32;37 496
Doliprane 300mg  sachet B/12;2023;3;21;24 660
Doliprane 300mg  sachet B/12;2023;6;31;36 414
Doliprane 300mg  sachet B/12;2023;8;61;71 432
Doliprane 500mg  cp b/16;2023;2;9;10 732
Doliprane 500mg  cp b/16;2023;8;28;30 053
Doliprane 500mg  cp b/16;2023;1;12;12 985
Doliprane 500mg  cp b/16;2023;3;10;10 739
Doliprane 500mg  cp b/16;2023;9;11;11 810
Doliprane 500mg  cp b/16;2023;6;15;15 030
Doliprane 500mg  cp b/16;2023;7;13;13 969
Doliprane 500mg  cp b/16;2023;4;10;10 639
Doliprane vit c;2023;3;12;15 692
Dologan denk cp;2023;9;12;44 686
Dologan denk cp;2023;5;9;33 663
Dologan denk cp;2023;8;9;3 921
Doxy 200mg cp B/8;2023;9;8;15 921
Doxy 200mg cp B/8;2023;3;12;24 061
Doxy 200mg cp B/8;2023;8;22;44 143
Doxy 200mg cp B/8;2023;5;13;26 196
Doxy 200mg cp B/8;2023;6;15;30 193
Doxy 200mg cp B/8;2023;1;14;27 982
Doxy 200mg cp B/8;2023;2;15;30 124
Doxy 200mg cp B/8;2023;7;11;22 252
Doxy 200mg cp B/8;2023;4;11;22 015
Doxyatco 100mg gel b/50;2023;5;10;11 188
Doxy denk 200 cp pell b/8;2023;9;9;17 177
Doxy denk 200 cp pell b/8;2023;3;10;18 885
Doxy denk 200 cp pell b/8;2023;1;9;17 178
Drill rhume cp;2023;4;18;32 670
Drill rhume cp;2023;7;19;34 506
Drill rhume cp;2023;5;12;21 797
Drill rhume cp;2023;8;21;38 097
Drill rhume cp;2023;9;17;30 851
Drill rhume cp;2023;3;11;19 963
Drill rhume cp;2023;6;10;18 126
Drill rhume cp;2023;2;17;30 836
Drill rhume cp;2023;1;13;23 615
Duphalac sachet B/20;2023;3;13;34 274
Duphalac sachet B/20;2023;6;8;21 197
Duphalac sachet B/20;2023;1;15;44 413
Duphalac sachet B/20;2023;7;8;21 200
Duphalac sachet B/20;2023;2;16;42 296
Duphalac sachet B/20;2023;5;17;44 777
Duphalac sachet B/20;2023;4;8;26 900
Duphalac sachet B/20;2023;8;10;26 477
Duphalac sp Fl/200ml;2023;4;8;13 188
Duphalac sp Fl/200ml;2023;1;10;16 513
Duphalac sp Fl/200ml;2023;6;9;14 835
Duphalac sp Fl/200ml;2023;9;9;14 833
Duphaston cp B/10;2023;4;10;27 586
Duphaston cp B/10;2023;5;11;30 351
Duphaston cp B/20;2023;2;16;88 000
Duphaston cp B/20;2023;9;10;54 450
Duphaston cp B/20;2023;5;26;143 000
Duphaston cp B/20;2023;8;19;104 500
Duphaston cp B/20;2023;1;15;82 501
Duphaston cp B/20;2023;4;14;74 271
Duphaston cp B/20;2023;3;24;132 000
Dyldes 5mg b/15;2023;6;8;21 508
Dyldes 5mg b/15;2023;8;10;28 110
Dyldes sp f/60ml;2023;4;8;23 484
Dynamogen amp B/20;2023;8;54;203 944
Dynamogen amp B/20;2023;2;35;132 364
Dynamogen amp B/20;2023;5;55;208 008
Dynamogen amp B/20;2023;3;36;136 120
Dynamogen amp B/20;2023;9;23;86 883
Dynamogen amp B/20;2023;7;31;117 268
Dynamogen amp B/20;2023;1;44;166 393
Dynamogen amp B/20;2023;6;57;215 160
Dynamogen amp B/20;2023;4;29;109 708
Dynapar 50 cp b/10x10;2023;4;361;248 673
Dynapar 50 cp b/10x10;2023;6;349;256 251
Dynapar 50 cp b/10x10;2023;5;461;327 649
Dynapar 50 cp b/10x10;2023;1;453;316 859
Dynapar 50 cp b/10x10;2023;9;248;173 591
Dynapar 50 cp b/10x10;2023;2;428;298 361
Dynapar 50 cp b/10x10;2023;7;292;210 667
Dynapar 50 cp b/10x10;2023;8;398;277 930
Dynapar 50 cp b/10x10;2023;3;428;298 967
Dynapar EC cp b/10x10;2023;2;11;5 635
Dynapar EC cp b/10x10;2023;6;23;11 506
Dynapar EC cp b/10x10;2023;8;11;5 502
Dynapar EC cp b/10x10;2023;3;17;8 705
Dynapar EC cp b/10x10;2023;4;14;7 003
Dynapar EC cp b/10x10;2023;1;13;6 630
Dynapar EC cp b/10x10;2023;5;13;6 507
Dynapar gel;2023;1;31;41 550
Dynapar gel;2023;4;30;40 527
Dynapar gel;2023;5;24;32 419
Dynapar gel;2023;8;24;32 416
Dynapar gel;2023;6;23;31 364
Dynapar gel;2023;7;21;28 227
Dynapar gel;2023;3;28;37 690
Dynapar gel;2023;9;22;29 711
Dynapar gel;2023;2;25;33 764
Dynapar qps 4% sol ext fl/15ml;2023;5;9;25 525
Dynapar qps 4% sol ext fl/15ml;2023;4;10;28 364
Dynapar qps 4% sol ext fl/30ML;2023;5;9;96 468
Dynapar SR 100 cp b/10x10;2023;5;22;12 320
Dynapar SR 100 cp b/10x10;2023;8;12;6 760
Dynapar SR 100 cp b/10x10;2023;7;14;7 880
Dynapar SR 100 cp b/10x10;2023;4;22;12 329
Dynapar SR 100 cp b/10x10;2023;6;24;13 632
Dynapar SR 100 cp b/10x10;2023;1;14;13 080
Dynapar SR 100 cp b/10x10;2023;2;25;14 847
Dynapar SR 100 cp b/10x10;2023;3;29;16 243
Efferalgan 1g cp eff B/8;2023;8;78;93 428
Efferalgan 1g cp eff B/8;2023;9;52;62 191
Efferalgan 1g cp eff B/8;2023;5;89;105 640
Efferalgan 1g cp eff B/8;2023;4;69;82 417
Efferalgan 1g cp eff B/8;2023;1;83;99 336
Efferalgan 1g cp eff B/8;2023;2;64;76 690
Efferalgan 1g cp eff B/8;2023;6;76;90 927
Efferalgan 1g cp eff B/8;2023;3;122;146 151
Efferalgan 1g cp eff B/8;2023;7;59;70 720
Efferalgan 1g sec;2023;2;12;13 802
Efferalgan 1g sec;2023;5;9;10 334
Efferalgan 1g sec;2023;9;11;12 635
Efferalgan 1g sec;2023;8;9;10 338
Efferalgan 1g sec;2023;1;10;11 407
Efferalgan 1g sec;2023;3;16;18 416
Efferalgan 1g sec;2023;6;8;9 165
Efferalgan 250mg  sachet B/12;2023;7;11;22 157
Efferalgan 250mg  sachet B/12;2023;8;23;25 481
Efferalgan 250mg  sachet B/12;2023;3;19;21 085
Efferalgan 250mg  sachet B/12;2023;2;15;16 650
Efferalgan 250mg  sachet B/12;2023;4;21;23 300
Efferalgan 500mg  cp eff B/16;2023;6;75;97 389
Efferalgan 500mg  cp eff B/16;2023;9;59;76 623
Efferalgan 500mg  cp eff B/16;2023;8;97;127 016
Efferalgan 500mg  cp eff B/16;2023;5;104;135 099
Efferalgan 500mg  cp eff B/16;2023;3;110;139 168
Efferalgan 500mg  cp eff B/16;2023;4;101;129 931
Efferalgan 500mg  cp eff B/16;2023;1;73;94 497
Efferalgan 500mg  cp eff B/16;2023;7;85;110 423
Efferalgan 500mg  cp eff B/16;2023;2;80;103 790
Efferalgan 500mg vit c effv b/16;2023;3;11;13 595
Efferalgan codeine cp eff B/16 sans sucre;2023;3;14;28 021
Efferalgan codeine cp eff B/16 sans sucre;2023;2;11;21 810
Efferalgan codeine cp eff B/16 sans sucre;2023;1;12;23 456
Efferalgan codeine cp eff B/16 sans sucre;2023;5;14;28 000
Efferalgan codeine cp eff B/16 sans sucre;2023;9;8;16 007
Efferalgan codeine cp eff B/16 sans sucre;2023;4;9;17 830
Efferalgan sp Fl/90ml;2023;3;147;174 359
Efferalgan sp Fl/90ml;2023;1;118;140 019
Efferalgan sp Fl/90ml;2023;5;130;165 133
Efferalgan sp Fl/90ml;2023;4;144;170 864
Efferalgan sp Fl/90ml;2023;6;123;145 918
Efferalgan sp Fl/90ml;2023;7;77;91 374
Efferalgan sp Fl/90ml;2023;2;109;129 329
Efferalgan sp Fl/90ml;2023;8;144;184 979
Efferalgan sp Fl/90ml;2023;9;84;99 539
Efferalgan vit c cp eff b/20;2023;8;13;16 140
Efferalgan vit c cp eff b/20;2023;6;24;29 785
Efferalgan vit c cp eff b/20;2023;1;10;11 289
Efferalgan vit c cp eff b/20;2023;5;18;22 234
Efferalgan vit c cp eff b/20;2023;7;25;30 768
Efferalgan vit c cp eff b/20;2023;4;12;14 819
Efferalgan vit c cp eff b/20;2023;9;13;16 057
Elle test ;2023;3;44;63 646
Elle test ;2023;7;28;40 426
Elle test ;2023;2;84;122 342
Elle test ;2023;6;36;52 248
Elle test ;2023;4;44;64 065
Elle test ;2023;5;61;87 982
Elle test ;2023;1;66;95 550
Elle test ;2023;8;40;59 077
Elle test ;2023;9;28;41 368
Eludril pro fl 200ml;2023;4;8;20 908
Eludril pro fl 200ml;2023;2;8;20 923
Eludril pro fl 200ml;2023;8;10;26 157
Eosine aqueuse 1% fl/30ml;2023;8;12;9 731
Epicran 5/10 25G orange;2023;8;15;2 250
Erythromycine 500 creat bte/10 x10;2023;8;17;27 063
Escodyne cpeff  B/10;2023;5;15;26 539
Escodyne cpeff  B/10;2023;3;20;35 450
Escodyne cpeff  B/10;2023;9;9;15 778
Escodyne cpeff  B/10;2023;1;10;17 724
Escodyne cpeff  B/10;2023;6;15;26 547
Escodyne cpeff  B/10;2023;7;19;33 681
Escodyne cpeff  B/10;2023;2;11;19 515
Escodyne cpeff  B/10;2023;4;20;34 868
Escodyne cpeff  B/10;2023;8;28;49 410
Esomecro 40mg b/30;2023;6;10;37 707
Esomecro 40mg b/30;2023;8;19;71 627
Eucarbon cp B/30 sans sucre;2023;4;9;23 536
Eucarbon cp B/30 sans sucre;2023;6;14;36 059
Eucarbon cp B/30 sans sucre;2023;8;14;36 594
Exofene pdre Fl/160g;2023;8;20;45 770
Exxib 200mg cp;2023;2;8;21 184
Fansidar cp B/3;2023;7;10;11 368
Fansidar cp B/3;2023;5;21;23 916
Faside pde t/15g;2023;2;11;21 010
Faside pde t/15g;2023;9;22;42 030
Faside pde t/15g;2023;3;11;19 326
Faside pde t/15g;2023;6;10;17 321
Febrilex junior;2023;1;11;17 158
Febrilex plus cp plaq/4;2023;6;189;66 150
Febrilex plus cp plaq/4;2023;1;143;50 050
Febrilex plus cp plaq/4;2023;5;129;45 150
Febrilex plus cp plaq/4;2023;9;61;21 300
Febrilex plus cp plaq/4;2023;3;115;40 250
Febrilex plus cp plaq/4;2023;2;95;33 250
Febrilex plus cp plaq/4;2023;7;50;17 500
Febrilex plus cp plaq/4;2023;8;142;48 806
Febrilex plus cp plaq/4;2023;4;142;51 100
Fedate gelules;2023;2;9;22 868
Fedate gelules;2023;1;8;19 994
Fedate gelules;2023;8;13;32 678
FEmifer sp 200ml;2023;2;12;37 336
FEmifer sp 200ml;2023;8;10;31 666
FEmifer sp 200ml;2023;6;17;53 823
FEmifer sp 200ml;2023;7;9;28 473
Fenapar cp ;2023;3;10;12 500
Fer+Ac Folique PNA cp plaq/10;2023;3;38;3 800
Fer+Ac Folique PNA cp plaq/10;2023;7;37;3 700
Fer+Ac Folique PNA cp plaq/10;2023;8;41;4 100
Fer+Ac Folique PNA cp plaq/10;2023;5;49;5 510
Fer+Ac Folique PNA cp plaq/10;2023;6;18;1 800
Fercefol cp B/30;2023;5;51;107 962
Fercefol cp B/30;2023;6;37;78 477
Fercefol cp B/30;2023;3;50;104 823
Fercefol cp B/30;2023;7;26;54 249
Fercefol cp B/30;2023;8;53;111 841
Fercefol cp B/30;2023;4;46;97 422
Fercefol cp B/30;2023;2;19;40 240
Fercefol cp B/30;2023;9;27;57 203
Fercefol cp B/30;2023;1;44;91 516
Fercefol sp Fl/150ml;2023;8;9;19 967
Feremi sp ;2023;9;8;16 943
Feremi sp ;2023;4;11;42 667
Feremi sp ;2023;8;11;24 287
Ferfoltone gelu B/30;2023;8;13;13 530
Ferfoltone gelu B/30;2023;1;44;45 769
Ferfoltone gelu B/30;2023;4;25;26 139
Ferfoltone gelu B/30;2023;9;13;13 539
Ferfoltone gelu B/30;2023;5;17;17 842
Ferfoltone gelu B/30;2023;3;24;24 155
Ferfoltone gelu B/30;2023;2;28;29 388
Ferro denk;2023;3;10;29 976
Ferro denk;2023;2;11;32 967
Fervex AD sach B/8;2023;9;9;21 063
Fervex AD sach B/8;2023;8;47;109 546
Fervex AD sach B/8;2023;2;26;61 152
Fervex AD sach B/8;2023;4;22;51 556
Fervex AD sach B/8;2023;3;33;77 364
Fervex AD sach B/8;2023;6;10;23 429
Fervex AD sach B/8;2023;7;21;49 314
Fervex AD sach B/8;2023;1;25;58 673
Fervex AD sach B/8;2023;5;16;37 488
Fervex Framboise AD sol buv sach b/8;2023;5;8;39 952
